[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, False, True, False, False) | Wed Apr  2 22:03:01 2025
[LoggerStatus.SUCCESS] | [+] Create default directories | Wed Apr  2 22:03:01 2025
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Wed Apr  2 22:03:01 2025
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Wed Apr  2 22:03:02 2025
[LoggerStatus.SUCCESS] | Installed: tumbler | Wed Apr  2 22:05:48 2025
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Wed Apr  2 22:05:50 2025
[LoggerStatus.SUCCESS] | Installed: lsd | Wed Apr  2 22:05:53 2025
[LoggerStatus.SUCCESS] | Installed: alacritty | Wed Apr  2 22:06:00 2025
[LoggerStatus.SUCCESS] | Installed: bat | Wed Apr  2 22:06:10 2025
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Wed Apr  2 22:06:10 2025
[LoggerStatus.SUCCESS] | Installed: calc | Wed Apr  2 22:06:15 2025
[LoggerStatus.SUCCESS] | Installed: automake | Wed Apr  2 22:06:15 2025
[LoggerStatus.SUCCESS] | Installed: blueman | Wed Apr  2 22:06:19 2025
[LoggerStatus.SUCCESS] | Installed: bluez | Wed Apr  2 22:06:20 2025
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Wed Apr  2 22:06:23 2025
[LoggerStatus.SUCCESS] | Installed: dunst | Wed Apr  2 22:06:24 2025
[LoggerStatus.SUCCESS] | Installed: fakeroot | Wed Apr  2 22:06:24 2025
[LoggerStatus.SUCCESS] | Installed: feh | Wed Apr  2 22:06:26 2025
[LoggerStatus.SUCCESS] | Installed: firefox | Wed Apr  2 22:06:27 2025
[LoggerStatus.SUCCESS] | Installed: fish | Wed Apr  2 22:06:29 2025
[LoggerStatus.SUCCESS] | Installed: dpkg | Wed Apr  2 22:06:30 2025
[LoggerStatus.SUCCESS] | Installed: gcc | Wed Apr  2 22:06:31 2025
[LoggerStatus.SUCCESS] | Installed: gedit | Wed Apr  2 22:06:33 2025
[LoggerStatus.SUCCESS] | Installed: git | Wed Apr  2 22:06:34 2025
[LoggerStatus.SUCCESS] | Installed: gnu-netcat | Wed Apr  2 22:06:35 2025
[LoggerStatus.SUCCESS] | Installed: htop | Wed Apr  2 22:06:35 2025
[LoggerStatus.SUCCESS] | Installed: btop | Wed Apr  2 22:06:36 2025
[LoggerStatus.SUCCESS] | Installed: nano | Wed Apr  2 22:06:36 2025
[LoggerStatus.SUCCESS] | Installed: lxappearance | Wed Apr  2 22:06:40 2025
[LoggerStatus.SUCCESS] | Installed: mat2 | Wed Apr  2 22:06:43 2025
[LoggerStatus.SUCCESS] | Installed: mpd | Wed Apr  2 22:06:47 2025
[LoggerStatus.SUCCESS] | Installed: mpv | Wed Apr  2 22:06:49 2025
[LoggerStatus.SUCCESS] | Installed: thunar | Wed Apr  2 22:06:51 2025
[LoggerStatus.SUCCESS] | Installed: ncmpcpp | Wed Apr  2 22:06:53 2025
[LoggerStatus.SUCCESS] | Installed: neofetch | Wed Apr  2 22:06:53 2025
[LoggerStatus.SUCCESS] | Installed: network-manager-applet | Wed Apr  2 22:06:56 2025
[LoggerStatus.SUCCESS] | Installed: nitrogen | Wed Apr  2 22:06:58 2025
[LoggerStatus.SUCCESS] | Installed: pamixer | Wed Apr  2 22:06:58 2025
[LoggerStatus.SUCCESS] | Installed: papirus-icon-theme | Wed Apr  2 22:07:16 2025
[LoggerStatus.SUCCESS] | Installed: pavucontrol | Wed Apr  2 22:07:30 2025
[LoggerStatus.SUCCESS] | Installed: polybar | Wed Apr  2 22:07:32 2025
[LoggerStatus.SUCCESS] | Installed: autoconf | Wed Apr  2 22:07:32 2025
[LoggerStatus.SUCCESS] | Installed: mpc | Wed Apr  2 22:07:33 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio | Wed Apr  2 22:07:33 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio-alsa | Wed Apr  2 22:07:34 2025
[LoggerStatus.SUCCESS] | Installed: python-pyalsa | Wed Apr  2 22:07:34 2025
[LoggerStatus.SUCCESS] | Installed: ranger | Wed Apr  2 22:07:35 2025
[LoggerStatus.SUCCESS] | Installed: redshift | Wed Apr  2 22:07:36 2025
[LoggerStatus.SUCCESS] | Installed: reflector | Wed Apr  2 22:07:37 2025
[LoggerStatus.SUCCESS] | Installed: rofi | Wed Apr  2 22:07:39 2025
[LoggerStatus.SUCCESS] | Installed: rofi-calc | Wed Apr  2 22:07:44 2025
[LoggerStatus.SUCCESS] | Installed: calcurse | Wed Apr  2 22:07:45 2025
[LoggerStatus.SUCCESS] | Installed: rofi-emoji | Wed Apr  2 22:07:46 2025
[LoggerStatus.SUCCESS] | Installed: scrot | Wed Apr  2 22:07:46 2025
[LoggerStatus.SUCCESS] | Installed: sudo | Wed Apr  2 22:07:47 2025
[LoggerStatus.SUCCESS] | Installed: slop | Wed Apr  2 22:07:48 2025
[LoggerStatus.SUCCESS] | Installed: tree | Wed Apr  2 22:07:49 2025
[LoggerStatus.SUCCESS] | Installed: unrar | Wed Apr  2 22:07:50 2025
[LoggerStatus.SUCCESS] | Installed: zip | Wed Apr  2 22:07:51 2025
[LoggerStatus.SUCCESS] | Installed: unzip | Wed Apr  2 22:07:53 2025
[LoggerStatus.SUCCESS] | Installed: uthash | Wed Apr  2 22:07:53 2025
[LoggerStatus.SUCCESS] | Installed: xarchiver | Wed Apr  2 22:07:55 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-power-manager | Wed Apr  2 22:08:05 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-settings | Wed Apr  2 22:08:23 2025
[LoggerStatus.SUCCESS] | Installed: xorg-xbacklight | Wed Apr  2 22:08:25 2025
[LoggerStatus.SUCCESS] | Installed: zathura | Wed Apr  2 22:08:28 2025
[LoggerStatus.SUCCESS] | Installed: zathura-djvu | Wed Apr  2 22:08:35 2025
[LoggerStatus.SUCCESS] | Installed: zathura-pdf-mupdf | Wed Apr  2 22:09:45 2025
[LoggerStatus.SUCCESS] | Installed: cmake | Wed Apr  2 22:09:52 2025
[LoggerStatus.SUCCESS] | Installed: clang | Wed Apr  2 22:10:16 2025
[LoggerStatus.SUCCESS] | Installed: gzip | Wed Apr  2 22:10:16 2025
[LoggerStatus.SUCCESS] | Installed: imagemagick | Wed Apr  2 22:10:28 2025
[LoggerStatus.SUCCESS] | Installed: make | Wed Apr  2 22:10:28 2025
[LoggerStatus.SUCCESS] | Installed: openssh | Wed Apr  2 22:10:29 2025
[LoggerStatus.SUCCESS] | Installed: pulseaudio-bluetooth | Wed Apr  2 22:10:29 2025
[LoggerStatus.SUCCESS] | Installed: shellcheck | Wed Apr  2 22:11:22 2025
[LoggerStatus.SUCCESS] | Installed: vlc | Wed Apr  2 22:12:10 2025
[LoggerStatus.SUCCESS] | Installed: usbutils | Wed Apr  2 22:12:12 2025
[LoggerStatus.SUCCESS] | Installed: picom | Wed Apr  2 22:12:14 2025
[LoggerStatus.SUCCESS] | Installed: networkmanager-openvpn | Wed Apr  2 22:12:20 2025
[LoggerStatus.SUCCESS] | Installed: alsa-plugins | Wed Apr  2 22:12:21 2025
[LoggerStatus.SUCCESS] | Installed: alsa-tools | Wed Apr  2 22:12:27 2025
[LoggerStatus.SUCCESS] | Installed: alsa-utils | Wed Apr  2 22:12:31 2025
[LoggerStatus.SUCCESS] | Installed: ffmpeg | Wed Apr  2 22:12:32 2025
[LoggerStatus.SUCCESS] | Installed: p7zip | Wed Apr  2 22:12:35 2025
[LoggerStatus.SUCCESS] | Installed: gparted | Wed Apr  2 22:12:39 2025
[LoggerStatus.SUCCESS] | Installed: sshfs | Wed Apr  2 22:12:42 2025
[LoggerStatus.SUCCESS] | Installed: openvpn | Wed Apr  2 22:12:43 2025
[LoggerStatus.SUCCESS] | Installed: xclip | Wed Apr  2 22:12:44 2025
[LoggerStatus.SUCCESS] | Installed: gpick | Wed Apr  2 22:12:45 2025
[LoggerStatus.SUCCESS] | Installed: wget | Wed Apr  2 22:12:47 2025
[LoggerStatus.SUCCESS] | Installed: ueberzug | Wed Apr  2 22:12:50 2025
[LoggerStatus.SUCCESS] | Installed: netctl | Wed Apr  2 22:12:51 2025
[LoggerStatus.SUCCESS] | Installed: light | Wed Apr  2 22:12:52 2025
[LoggerStatus.SUCCESS] | Installed: libreoffice | Wed Apr  2 22:17:54 2025
[LoggerStatus.SUCCESS] | Installed: breeze | Wed Apr  2 22:19:20 2025
[LoggerStatus.SUCCESS] | Installed: vulkan-intel | Wed Apr  2 22:19:22 2025
[LoggerStatus.SUCCESS] | Installed: intel-ucode | Wed Apr  2 22:19:47 2025
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono | Wed Apr  2 22:19:48 2025
[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono-nerd | Wed Apr  2 22:19:51 2025
[LoggerStatus.SUCCESS] | Installed: ttf-fira-code | Wed Apr  2 22:19:52 2025
[LoggerStatus.SUCCESS] | Installed: ttf-iosevka-nerd | Wed Apr  2 22:20:24 2025
[LoggerStatus.SUCCESS] | Installed: cava | Wed Apr  2 22:20:28 2025
[LoggerStatus.SUCCESS] | Installed: i3lock-color | Wed Apr  2 22:20:48 2025
[LoggerStatus.SUCCESS] | Installed: ptpython | Wed Apr  2 22:21:00 2025
[LoggerStatus.SUCCESS] | [+] Firefox styles installed | Wed Apr  2 22:21:10 2025
